gene	cellType.target	mean.target	cellType.2nd	mean.2nd	MeanRatio	MeanRatio.rank	MeanRatio.anno
Lims1	Endothelial	0.945526058160132	Stromal	0.367848316673145	2.57042377334103	32	Endothelial/Stromal: 2.57
Klf7	Endothelial	1.12493191489963	Neutrophil	0.480281512962907	2.3422344698629	33	Endothelial/Neutrophil: 2.342
Wwtr1	Endothelial	1.20837664181505	Stromal	0.526353220690122	2.29575234712291	34	Endothelial/Stromal: 2.296
Ndrg1	Endothelial	1.96793544812294	Stromal	0.862348007623655	2.28206644037587	35	Endothelial/Stromal: 2.282
Cd3e	T cell	1.59319700504329	NKC	0.00991199992355034	160.734162361921	1	T cell/NKC: 160.734
Cd3d	T cell	1.29517326066221	NKC	0.050149006744558	25.8264987631635	2	T cell/NKC: 25.826
Cxcr6	T cell	1.41355514825294	NKC	0.0571585458383396	24.7304253024714	3	T cell/NKC: 24.73
Cd3g	T cell	1.67768511896751	NKC	0.134402924549933	12.4825045629437	4	T cell/NKC: 12.483
Icos	T cell	1.78561760810179	NKC	0.302650642140981	5.89993001657009	5	T cell/NKC: 5.9
Rora	T cell	1.71634105176473	Stromal	0.396502905298928	4.32869729030299	6	T cell/Stromal: 4.329
Tmem64	T cell	1.19002682040657	Endothelial	0.434810111184824	2.73688856306456	7	T cell/Endothelial: 2.737
Uhrf2	T cell	1.19918283976431	Endothelial	0.473225019888808	2.53406474587096	8	T cell/Endothelial: 2.534
Ikzf3	T cell	1.10776838159113	NKC	0.495460929918106	2.23583397741217	9	T cell/NKC: 2.236
Trbc2	T cell	1.46423597137337	NKC	0.66026570871571	2.21764655054019	10	T cell/NKC: 2.218
Emb	T cell	2.52699954552557	NKC	1.16619011384771	2.16688472618587	11	T cell/NKC: 2.167
Itk	T cell	1.03375597611619	NKC	0.481922631352052	2.14506625932041	12	T cell/NKC: 2.145
Gpr183	T cell	1.10615006202139	DC	0.518868687607935	2.13184971157329	13	T cell/DC: 2.132
Thy1	T cell	1.0505735280615	NKC	0.566605677075241	1.85415284485755	14	T cell/NKC: 1.854
Aebp2	T cell	1.40392876704091	DC	0.84458126202901	1.66227790049253	15	T cell/DC: 1.662
Itpkb	T cell	1.29683396585432	NKC	0.796924129494832	1.6272991591764	16	T cell/NKC: 1.627
Nrip1	T cell	1.44517046656055	Endothelial	0.979379049457474	1.47559871467651	17	T cell/Endothelial: 1.476
Ppp1cc	T cell	1.35360994209703	NKC	0.927831138923239	1.4588968674493	18	T cell/NKC: 1.459
Zeb1	T cell	1.15122122855597	NKC	0.793041061967266	1.45165399847037	19	T cell/NKC: 1.452
Eprs	T cell	1.65919966808448	NKC	1.1963023401811	1.38694008392001	20	T cell/NKC: 1.387
Nr3c1	T cell	1.3328592392349	NKC	0.986087460705552	1.35166432223084	21	T cell/NKC: 1.352
Arap2	T cell	1.36645095364563	NKC	1.01411156283115	1.34743651855309	22	T cell/NKC: 1.347
Il7r	T cell	1.67820901424698	DC	1.27137049018024	1.31999997420819	23	T cell/DC: 1.32
Cd164	T cell	1.43774131313889	Stromal	1.10181971706042	1.3048789115652	24	T cell/Stromal: 1.305
Tnfaip3	T cell	1.93809980828697	NKC	1.50113025187908	1.29109369813905	25	T cell/NKC: 1.291
Ets1	T cell	2.39617240320154	NKC	1.88497157511558	1.27119816279172	26	T cell/NKC: 1.271
D16Ertd472e	T cell	1.32676193860919	NKC	1.04390017522225	1.27096629553369	27	T cell/NKC: 1.271
Ramp3	T cell	1.87980969666515	DC	1.48244495380447	1.2680468788004	28	T cell/DC: 1.268
Gna13	T cell	1.32027789870599	Macrophage	1.04649433895332	1.26161972364466	29	T cell/Macrophage: 1.262
Ncor1	T cell	1.17361002111779	NKC	0.959496067943709	1.22315250716237	30	T cell/NKC: 1.223
Saraf	T cell	0.979576526580153	NKC	0.818275223121407	1.19712353362411	31	T cell/NKC: 1.197
Usmg5	T cell	1.53257658539522	Neutrophil	1.29949041872163	1.17936736070966	32	T cell/Neutrophil: 1.179
Maf	T cell	1.33488333722802	Stromal	1.13553025060606	1.17555946793629	33	T cell/Stromal: 1.176
Zc3hav1	T cell	1.2522284389724	NKC	1.09522480958304	1.14335287880224	34	T cell/NKC: 1.143
Cnbp	T cell	1.87072581848018	B cell	1.65060173187629	1.13335990284808	35	T cell/B cell: 1.133
Klra8	NKC	1.54292989662843	Macrophage	0.0135753222809055	113.656962590027	1	NKC/Macrophage: 113.657
Klra4	NKC	1.40951573356725	DC	0.0207120355871387	68.0529795170157	2	NKC/DC: 68.053
Prf1	NKC	1.17367405974011	T cell	0.0724049613173305	16.2098568714957	3	NKC/T cell: 16.21
Klre1	NKC	1.24018157540266	T cell	0.0781377844162738	15.8717269073778	4	NKC/T cell: 15.872
Xcl1	NKC	1.53022565041983	T cell	0.119516752926557	12.8034406302868	5	NKC/T cell: 12.803
Cd7	NKC	1.43601975688871	DC	0.150153407491707	9.56368410732222	6	NKC/DC: 9.564
